event,date,favourite,favourite_odds,underdog,underdog_odds,result
UFC 191 - Johnson vs. Dodson 2,5th Sep 2015,John Lineker,1.77,Francisco Rivera,2.18,Favourite
UFC 191 - Johnson vs. Dodson 2,5th Sep 2015,Jessica Andrade,1.5,Raquel Pennington,3.0,Underdog
UFC 191 - Johnson vs. Dodson 2,5th Sep 2015,Clay Collard,1.8,Tiago Trator,2.2,Underdog
UFC 191 - Johnson vs. Dodson 2,5th Sep 2015,Ron Stallings,1.63,Joe Riggs,2.59,Underdog
UFC 191 - Johnson vs. Dodson 2,5th Sep 2015,Nazareno Malegarie,1.75,Joaquim Silva,2.35,Underdog
UFC Fight Night - Barnett vs. Nelson,26th Sep 2015,Josh Barnett,1.34,Roy Nelson,3.8,Favourite
UFC Fight Night - Barnett vs. Nelson,26th Sep 2015,Gegard Mousasi,1.2,Urijah Hall,5.49,Underdog
UFC Fight Night - Barnett vs. Nelson,26th Sep 2015,Kyoji Horiguchi,1.27,Chico Camus,4.48,Favourite
UFC Fight Night - Barnett vs. Nelson,26th Sep 2015,Takeya Mizugaki,1.43,George Roop,3.06,Favourite
UFC Fight Night - Barnett vs. Nelson,26th Sep 2015,Mizuto Hirota,1.37,Teruto Ishihara,3.55,Draw
UFC Fight Night - Barnett vs. Nelson,26th Sep 2015,Diego Brandao,1.46,Katsunori Kikuno,3.1,Favourite
UFC Fight Night - Barnett vs. Nelson,26th Sep 2015,Li Jingliang,1.4,Keita Nakamura,3.58,Underdog
UFC Fight Night - Barnett vs. Nelson,26th Sep 2015,Nick Hein,1.31,Yusuke Kasuya,4.2,Favourite
UFC Fight Night - Barnett vs. Nelson,26th Sep 2015,Kajan Johnson,1.34,Naoyuki Kotani,3.69,Favourite
UFC Fight Night - Barnett vs. Nelson,26th Sep 2015,Shinsho Anzai,1.93,Roger Zapata,2.04,Favourite
UFC 192 - Cormier vs. Gustafsson,3rd Oct 2015,Daniel Cormier,1.43,Alexander Gustafsson,3.45,Favourite
UFC 192 - Cormier vs. Gustafsson,3rd Oct 2015,Rashad Evans,1.83,Ryan Bader,2.19,Underdog
UFC 192 - Cormier vs. Gustafsson,3rd Oct 2015,Ruslan Magomedov,1.56,Shawn Jordan,2.7,Favourite
UFC 192 - Cormier vs. Gustafsson,3rd Oct 2015,Joseph Benavidez,1.33,Ali Bagautinov,3.91,Favourite
UFC 192 - Cormier vs. Gustafsson,3rd Oct 2015,Julianna Pena,1.45,Jessica Eye,3.1,Favourite
UFC 192 - Cormier vs. Gustafsson,3rd Oct 2015,Yair Rodriguez,1.35,Daniel Hooker,3.85,Favourite
UFC 192 - Cormier vs. Gustafsson,3rd Oct 2015,Albert Tumenov,1.43,Alan Jouban,3.4,Favourite
UFC 192 - Cormier vs. Gustafsson,3rd Oct 2015,Islam Makhachev,1.71,Adriano Martins,2.35,Underdog
UFC 192 - Cormier vs. Gustafsson,3rd Oct 2015,Rose Namajunas,1.44,Angela Hill,3.19,Favourite
UFC 192 - Cormier vs. Gustafsson,3rd Oct 2015,Sage Northcutt,1.24,Frank Trevino,4.81,Favourite
UFC 192 - Cormier vs. Gustafsson,3rd Oct 2015,Sergio Pettis,1.53,Chris Cariaso,2.85,Favourite
UFC 192 - Cormier vs. Gustafsson,3rd Oct 2015,Viktor Pesta,1.63,Derrick Lewis,2.6,Underdog
UFC Fight Night 76 - Holohan vs. Smolka,24th Oct 2015,Louis Smolka,1.8,Patrick Holohan,2.3,Favourite
UFC Fight Night 76 - Holohan vs. Smolka,24th Oct 2015,Norman Parke,1.5,Reza Madadi,3.1,Favourite
UFC Fight Night 76 - Holohan vs. Smolka,24th Oct 2015,Darren Till,2.0,Nicolas Dalby,2.05,Draw
UFC Fight Night 76 - Holohan vs. Smolka,24th Oct 2015,Neil Seery,1.91,Jon delos Reyes,2.05,Favourite
UFC Fight Night 76 - Holohan vs. Smolka,24th Oct 2015,Stevie Ray,1.21,Mickael Lebout,5.26,Favourite
UFC Fight Night 76 - Holohan vs. Smolka,24th Oct 2015,Ericka Almeida,2.0,Aisling Daly,2.0,Underdog
UFC Fight Night 76 - Holohan vs. Smolka,24th Oct 2015,Scott Askham,1.77,Krzysztof Jotko,2.25,Underdog
UFC Fight Night 76 - Holohan vs. Smolka,24th Oct 2015,Tom Breese,1.37,Cathal Pendred,3.48,Favourite
UFC Fight Night 76 - Holohan vs. Smolka,24th Oct 2015,Darren Elkins,1.71,Robert Whiteford,2.4,Favourite
UFC Fight Night 76 - Holohan vs. Smolka,24th Oct 2015,Bubba Bush,1.36,Garreth McLellan,3.91,Underdog
UFC Fight Night 77: Belfort vs. Henderson 3,7th Nov 2015,Vitor Belfort,1.36,Dan Henderson,3.75,Favourite
UFC Fight Night 77: Belfort vs. Henderson 3,7th Nov 2015,Glover Teixeira,1.23,Patrick Cummins,4.85,Favourite
UFC Fight Night 77: Belfort vs. Henderson 3,7th Nov 2015,Thomas Almeida,1.25,Anthony Birchak,4.65,Favourite
UFC Fight Night 77: Belfort vs. Henderson 3,7th Nov 2015,Alex Oliveira,1.47,Piotr Hallmann,3.0,Favourite
UFC Fight Night 77: Belfort vs. Henderson 3,7th Nov 2015,Rashid Magomedov,1.53,Gilbert Burns,2.84,Favourite
UFC Fight Night 77: Belfort vs. Henderson 3,7th Nov 2015,Corey Anderson,1.2,Fabio Maldonado,5.81,Favourite
UFC Fight Night 77: Belfort vs. Henderson 3,7th Nov 2015,Gleison Tibau,1.83,Abel Trujillo,2.14,Favourite
UFC Fight Night 77: Belfort vs. Henderson 3,7th Nov 2015,Johnny Case,1.39,Yan Cabral,3.5,Favourite
UFC Fight Night 77: Belfort vs. Henderson 3,7th Nov 2015,Clay Guida,1.69,Thiago Tavares,2.4,Underdog
UFC Fight Night 77: Belfort vs. Henderson 3,7th Nov 2015,Chas Skelly,1.61,Edmilson Souza,2.6,Favourite
UFC Fight Night 77: Belfort vs. Henderson 3,7th Nov 2015,Gasan Umalatov,1.83,Viscardi Andrade,2.15,Underdog
UFC Fight Night 77: Belfort vs. Henderson 3,7th Nov 2015,Pedro Munhoz,1.61,Jimmie Rivera,2.55,Underdog
UFC Fight Night 77: Belfort vs. Henderson 3,7th Nov 2015,Matheus Nicolau,1.54,Bruno Korea,2.7,Favourite
UFC 193 - Rousey vs. Holm,14th Nov 2015,Ronda Rousey,1.07,Holly Holm,12.99,Underdog
UFC 193 - Rousey vs. Holm,14th Nov 2015,Joanna Jedrzejczyk,1.06,Valerie Letourneau,12.82,Favourite
UFC 193 - Rousey vs. Holm,14th Nov 2015,Mark Hunt,1.4,Antonio Silva,3.34,Favourite
UFC 193 - Rousey vs. Holm,14th Nov 2015,Urijah Hall,1.71,Robert Whittaker,2.3,Underdog
UFC 193 - Rousey vs. Holm,14th Nov 2015,Stefan Struve,1.83,Jared Rosholt,2.16,Underdog
UFC 193 - Rousey vs. Holm,14th Nov 2015,Jake Matthews,1.11,Akbarh Arreola,8.47,Favourite
UFC 193 - Rousey vs. Holm,14th Nov 2015,Peter Sobotta,1.63,Kyle Noke,2.6,Underdog
UFC 193 - Rousey vs. Holm,14th Nov 2015,Gian Villante,1.25,Anthony Perosh,4.65,Favourite
UFC 193 - Rousey vs. Holm,14th Nov 2015,Danny Martinez,1.91,Richie Vaculik,2.0,Favourite
UFC 193 - Rousey vs. Holm,14th Nov 2015,Steve Montgomery,1.39,Daniel Kelly,3.4,Underdog
UFC 193 - Rousey vs. Holm,14th Nov 2015,Richard Walsh,1.32,Steven Kennedy,3.91,Favourite
UFC 193 - Rousey vs. Holm,14th Nov 2015,James Moontasri,1.32,Anton Zafir,3.91,Favourite
UFC 193 - Rousey vs. Holm,14th Nov 2015,Ben Nguyen,1.8,Ryan Benoit,2.2,Favourite
UFC Fight Night 78 - Magny vs. Gastelum,21st Nov 2015,Kelvin Gastelum,1.34,Neil Magny,3.8,Underdog
UFC Fight Night 78 - Magny vs. Gastelum,21st Nov 2015,Ricardo Lamas,1.25,Diego Sanchez,5.46,Favourite
UFC Fight Night 78 - Magny vs. Gastelum,21st Nov 2015,Henry Cejudo,1.2,Jussier Formiga,5.49,Favourite
UFC Fight Night 78 - Magny vs. Gastelum,21st Nov 2015,Enrique Marin,1.54,Erick Montano,2.7,Underdog
UFC Fight Night 78 - Magny vs. Gastelum,21st Nov 2015,Horacio Gutierrez,1.57,Enrique Barzola,2.67,Underdog
UFC Fight Night 78 - Magny vs. Gastelum,21st Nov 2015,Leandro Silva,1.71,Efrain Escudero,2.4,Favourite
UFC Fight Night 78 - Magny vs. Gastelum,21st Nov 2015,Erik Perez,1.83,Taylor Lapilus,2.1,Favourite
UFC Fight Night 78 - Magny vs. Gastelum,21st Nov 2015,Bartosz Fabinski,1.55,Hector Urbina,2.72,Favourite
UFC Fight Night 78 - Magny vs. Gastelum,21st Nov 2015,Scott Jorgensen,1.8,Alejandro Perez,2.17,Underdog
UFC Fight Night 78 - Magny vs. Gastelum,21st Nov 2015,Andre Fili,1.49,Gabriel Benitez,2.9,Favourite
UFC Fight Night 78 - Magny vs. Gastelum,21st Nov 2015,Vernon Ramos,1.63,Alvaro Herrera,2.5,Underdog
UFC Fight Night 78 - Magny vs. Gastelum,21st Nov 2015,Cesar Arzamendia,1.57,Marco Polo Reyes,2.7,Underdog
UFC Fight Night 78 - Magny vs. Gastelum,21st Nov 2015,Michel Prazeres,1.83,Valmir Lazaro,2.22,Favourite
UFC Fight Night 79 - Henderson vs. Masvidal,28th Nov 2015,Benson Henderson,1.47,Jorge Masvidal,3.05,Favourite
UFC Fight Night 79 - Henderson vs. Masvidal,28th Nov 2015,Dong Hyun Kim,1.14,Dominic Waters,6.99,Favourite
UFC Fight Night 79 - Henderson vs. Masvidal,28th Nov 2015,Yoshihiro Akiyama,1.69,Alberto Mina,2.4,Underdog
UFC Fight Night 79 - Henderson vs. Masvidal,28th Nov 2015,Doo Ho Choi,1.42,Sam Sicilia,3.34,Favourite
UFC Fight Night 79 - Henderson vs. Masvidal,28th Nov 2015,Jake Collier,1.91,Dongi Yang,2.1,Underdog
UFC Fight Night 79 - Henderson vs. Masvidal,28th Nov 2015,Yui Chul Nam,1.91,Mike de la Torre,2.09,Underdog
UFC Fight Night 79 - Henderson vs. Masvidal,28th Nov 2015,Leo Kuntz,1.7,Tae Hyun Bang,2.55,Underdog
UFC Fight Night 79 - Henderson vs. Masvidal,28th Nov 2015,Cortney Casey,1.75,Seo Hee Ham,2.3,Underdog
UFC Fight Night 79 - Henderson vs. Masvidal,28th Nov 2015,Freddy Serrano,1.66,Zhuikui Yao,2.55,Favourite
UFC Fight Night 79 - Henderson vs. Masvidal,28th Nov 2015,Ning Guangyou,1.7,Marco Beltran,2.55,Underdog
UFC Fight Night 79 - Henderson vs. Masvidal,28th Nov 2015,Dominique Steele,1.79,Dong Hyun Ma,2.18,Favourite
UFC Fight Night - VanZant vs Namajunas,10th Dec 2015,Paige VanZant,1.74,Rose Namajunas,2.41,Underdog
UFC Fight Night - VanZant vs Namajunas,10th Dec 2015,Michael Chiesa,1.78,Jim Miller,2.2,Favourite
UFC Fight Night - VanZant vs Namajunas,10th Dec 2015,Sage Northcutt,1.13,Cody Pfister,7.75,Favourite
UFC Fight Night - VanZant vs Namajunas,10th Dec 2015,Elias Theodorou,1.48,Thiago Santos,3.1,Underdog
UFC Fight Night - VanZant vs Namajunas,10th Dec 2015,Tim Means,1.27,John Howard,4.41,Favourite
UFC Fight Night - VanZant vs Namajunas,10th Dec 2015,Omari Akhmedov,1.77,Sergio Moraes,2.25,Underdog
UFC Fight Night - VanZant vs Namajunas,10th Dec 2015,Antonio Carlos Junior,1.18,Kevin Casey,3.75,Draw
UFC Fight Night - VanZant vs Namajunas,10th Dec 2015,Aljamain Sterling,1.18,Johnny Eduardo,5.81,Favourite
UFC Fight Night - VanZant vs Namajunas,10th Dec 2015,Santiago Ponzinibbio,1.51,Andreas Stahl,2.85,Favourite
UFC Fight Night - VanZant vs Namajunas,10th Dec 2015,Danny Roberts,1.71,Nathan Coy,2.38,Favourite
UFC Fight Night - VanZant vs Namajunas,10th Dec 2015,Zubaira Tukhugov,1.4,Phillipe Nover,4.0,Favourite
UFC Fight Night - VanZant vs Namajunas,10th Dec 2015,Kailin Curran,1.32,Emily Kagan,4.0,Favourite
UFC - The Ultimate Fighter 22 Finale,12th Dec 2015,Frankie Edgar,1.87,Chad Mendes,2.15,Favourite
UFC - The Ultimate Fighter 22 Finale,12th Dec 2015,Artem Lobov,1.62,Ryan Hall,2.51,Underdog
UFC - The Ultimate Fighter 22 Finale,12th Dec 2015,Tony Ferguson,1.56,Edson Barboza,2.75,Favourite
UFC - The Ultimate Fighter 22 Finale,12th Dec 2015,Evan Dunham,1.5,Joe Lauzon,2.88,Favourite
UFC - The Ultimate Fighter 22 Finale,12th Dec 2015,Tatsuya Kawajiri,1.4,Jason Knight,3.34,Favourite
UFC - The Ultimate Fighter 22 Finale,12th Dec 2015,Julian Erosa,2.1,Marcin Wrzosek,2.13,Favourite
UFC - The Ultimate Fighter 22 Finale,12th Dec 2015,Konstantin Erokhin,1.87,Gabriel Gonzaga,2.11,Underdog
UFC - The Ultimate Fighter 22 Finale,12th Dec 2015,Ryan LaFlare,1.49,Mike Pierce,3.0,Favourite
UFC - The Ultimate Fighter 22 Finale,12th Dec 2015,Joby Sanchez,1.93,Geane Herrera,2.0,Underdog
UFC - The Ultimate Fighter 22 Finale,12th Dec 2015,Chris Gruetzemacher,1.57,Abner Lloveras,2.61,Favourite
UFC 194 - Aldo vs. McGregor,12th Dec 2015,Jose Aldo,1.91,Conor McGregor,2.05,Underdog
UFC 194 - Aldo vs. McGregor,12th Dec 2015,Chris Weidman,1.78,Luke Rockhold,2.25,Underdog
UFC 194 - Aldo vs. McGregor,12th Dec 2015,Ronaldo Souza,1.74,Yoel Romero,2.25,Underdog
UFC 194 - Aldo vs. McGregor,12th Dec 2015,Demian Maia,1.94,Gunnar Nelson,2.0,Favourite
UFC 194 - Aldo vs. McGregor,12th Dec 2015,Max Holloway,1.22,Jeremy Stephens,5.75,Favourite
UFC 194 - Aldo vs. McGregor,12th Dec 2015,Urijah Faber,1.18,Frankie Saenz,6.25,Favourite
UFC 194 - Aldo vs. McGregor,12th Dec 2015,Tecia Torres,1.35,Jocelyn Jones-Lybarger,3.66,Favourite
UFC 194 - Aldo vs. McGregor,12th Dec 2015,Colby Covington,1.87,Warlley Alves,2.08,Underdog
UFC 194 - Aldo vs. McGregor,12th Dec 2015,Kevin Lee,1.18,Leonardo Santos,6.41,Underdog
UFC 194 - Aldo vs. McGregor,12th Dec 2015,Magomed Mustafaev,1.29,Joe Proctor,4.26,Favourite
UFC 194 - Aldo vs. McGregor,12th Dec 2015,John Makdessi,1.63,Yancy Medeiros,2.5,Underdog
UFC 194 - Aldo vs. McGregor,12th Dec 2015,Court McGee,1.59,Marcio Alexandre Jr.,2.6,Favourite
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,19th Dec 2015,Rafael dos Anjos,1.56,Donald Cerrone,2.7,Favourite
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,19th Dec 2015,Junior dos Santos,1.38,Alistair Overeem,3.4,Underdog
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,19th Dec 2015,Michael Johnson,1.24,Nate Diaz,5.25,Underdog
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,19th Dec 2015,Randa Markos,1.53,Karolina Kowalkiewicz,2.78,Underdog
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,19th Dec 2015,Myles Jury,1.63,Charles Oliveira,2.55,Underdog
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,19th Dec 2015,C.B. Dollaway,1.26,Nate Marquardt,4.65,Underdog
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,19th Dec 2015,Sarah Kaufman,1.71,Valentina Shevchenko,2.35,Underdog
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,19th Dec 2015,Josh Samman,1.56,Tamdan McCrory,2.78,Underdog
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,19th Dec 2015,Nik Lentz,1.9,Danny Castillo,2.05,Favourite
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,19th Dec 2015,Jim Alers,1.91,Cole Miller,2.04,Draw
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,19th Dec 2015,Kamaru Usman,1.41,Leon Edwards,3.35,Favourite
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,19th Dec 2015,Vicente Luque,1.77,Hayder Hassan,2.22,Favourite
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,19th Dec 2015,Francis Ngannou,1.83,Luis Henrique,2.21,Favourite
UFC 195 - Lawler vs Condit,2nd Jan 2016,Carlos Condit,1.95,Robbie Lawler,1.95,Underdog
UFC 195 - Lawler vs Condit,2nd Jan 2016,Stipe Miocic,1.49,Andrei Arlovski,3.0,Favourite
UFC 195 - Lawler vs Condit,2nd Jan 2016,Albert Tumenov,1.43,Lorenz Larkin,3.3,Favourite
UFC 195 - Lawler vs Condit,2nd Jan 2016,Brian Ortega,1.59,Diego Brandao,2.7,Favourite
UFC 195 - Lawler vs Condit,2nd Jan 2016,Tony Sims,1.75,Abel Trujillo,2.3,Underdog
UFC 195 - Lawler vs Condit,2nd Jan 2016,Michael McDonald,1.2,Masanori Kanehara,5.81,Favourite
UFC 195 - Lawler vs Condit,2nd Jan 2016,Kyle Noke,1.33,Alex Morono,3.75,Underdog
UFC 195 - Lawler vs Condit,2nd Jan 2016,Justine Kish,1.48,Nina Nunes,3.05,Favourite
UFC 195 - Lawler vs Condit,2nd Jan 2016,Scott Holtzman,1.59,Drew Dober,2.67,Underdog
UFC 195 - Lawler vs Condit,2nd Jan 2016,Joseph Duffy,1.69,Dustin Poirier,2.6,Underdog
UFC 195 - Lawler vs Condit,2nd Jan 2016,Michinori Tanaka,1.83,Joe Soto,2.15,Favourite
UFC 195 - Lawler vs Condit,2nd Jan 2016,Sheldon Westcott,1.71,Edgar Garcia,2.45,Favourite
UFC Fight Night - Dillashaw vs. Cruz,17th Jan 2016,T.J. Dillashaw,1.74,Dominick Cruz,2.33,Underdog
UFC Fight Night - Dillashaw vs. Cruz,17th Jan 2016,Anthony Pettis,1.33,Eddie Alvarez,4.1,Underdog
UFC Fight Night - Dillashaw vs. Cruz,17th Jan 2016,Travis Browne,1.69,Matt Mitrione,2.35,Favourite
UFC Fight Night - Dillashaw vs. Cruz,17th Jan 2016,Ross Pearson,1.71,Francisco Trinaldo,2.35,Underdog
UFC Fight Night - Dillashaw vs. Cruz,17th Jan 2016,Ben Saunders,1.87,Patrick Cote,2.1,Underdog
UFC Fight Night - Dillashaw vs. Cruz,17th Jan 2016,Tim Boetsch,1.48,Ed Herman,2.9,Underdog
UFC Fight Night - Dillashaw vs. Cruz,17th Jan 2016,Chris Wade,1.28,Mehdi Baghdad,4.15,Favourite
UFC Fight Night - Dillashaw vs. Cruz,17th Jan 2016,Maximo Blanco,1.89,Luke Sanders,2.05,Underdog
UFC Fight Night - Dillashaw vs. Cruz,17th Jan 2016,Paul Felder,1.41,Daron Cruickshank,3.25,Favourite
UFC Fight Night - Dillashaw vs. Cruz,17th Jan 2016,Ilir Latifi,1.39,Sean O'Connell,3.34,Favourite
UFC Fight Night - Dillashaw vs. Cruz,17th Jan 2016,Charles Rosa,1.41,Kyle Bochniak,3.21,Favourite
UFC Fight Night - Dillashaw vs. Cruz,17th Jan 2016,Rob Font,1.5,Joey Gomez,2.9,Favourite
UFC Fight Night - Dillashaw vs. Cruz,17th Jan 2016,Elvis Mutapcic,1.66,Francimar Barroso,2.45,Underdog
UFC on Fox 18 - Johnson vs. Bader,30th Jan 2016,Anthony Johnson,1.4,Ryan Bader,3.3,Favourite
UFC on Fox 18 - Johnson vs. Bader,30th Jan 2016,Josh Barnett,1.76,Ben Rothwell,2.23,Underdog
UFC on Fox 18 - Johnson vs. Bader,30th Jan 2016,Jimmie Rivera,1.64,Yuri Alcantara,2.48,Favourite
UFC on Fox 18 - Johnson vs. Bader,30th Jan 2016,Sage Northcutt,1.41,Bryan Barberena,3.45,Underdog
UFC on Fox 18 - Johnson vs. Bader,30th Jan 2016,Tarec Saffiedine,1.43,Jake Ellenberger,3.25,Favourite
UFC on Fox 18 - Johnson vs. Bader,30th Jan 2016,Olivier Aubin-Mercier,1.41,Carlos Diego Ferreira,3.3,Underdog
UFC on Fox 18 - Johnson vs. Bader,30th Jan 2016,Rafael Natal,1.61,Kevin Casey,2.55,Favourite
UFC on Fox 18 - Johnson vs. Bader,30th Jan 2016,Dustin Ortiz,1.47,Wilson Reis,3.1,Underdog
UFC on Fox 18 - Johnson vs. Bader,30th Jan 2016,Alexander Yakovlev,1.87,George Sullivan,2.08,Favourite
UFC on Fox 18 - Johnson vs. Bader,30th Jan 2016,Alex Caceres,1.39,Masio Fullen,3.3,Favourite
UFC on Fox 18 - Johnson vs. Bader,30th Jan 2016,Randy Brown,1.95,Matt Dwyer,2.3,Favourite
UFC on Fox 18 - Johnson vs. Bader,30th Jan 2016,Levan Makashvili,1.35,Damon Jackson,3.65,Draw
UFC on Fox 18 - Johnson vs. Bader,30th Jan 2016,Tony Martin,1.68,Felipe Olivieri,2.61,Favourite
UFC Fight Night 82 - Hendricks vs. Thompson,6th Feb 2016,Johny Hendricks,1.42,Stephen Thompson,3.34,Underdog
UFC Fight Night 82 - Hendricks vs. Thompson,6th Feb 2016,Roy Nelson,1.67,Jared Rosholt,2.45,Favourite
UFC Fight Night 82 - Hendricks vs. Thompson,6th Feb 2016,Ovince St Preux,1.33,Rafael Cavalcante,4.05,Favourite
UFC Fight Night 82 - Hendricks vs. Thompson,6th Feb 2016,Joseph Benavidez,1.24,Zach Makovsky,4.69,Favourite
UFC Fight Night 82 - Hendricks vs. Thompson,6th Feb 2016,Misha Cirkunov,1.14,Alex Nicholson,8.26,Favourite
UFC Fight Night 82 - Hendricks vs. Thompson,6th Feb 2016,Sean Spencer,1.77,Mike Pyle,2.25,Underdog
UFC Fight Night 82 - Hendricks vs. Thompson,6th Feb 2016,Josh Burkman,1.67,K.J. Noons,2.45,Favourite
UFC Fight Night 82 - Hendricks vs. Thompson,6th Feb 2016,Damian Grabowski,1.91,Derrick Lewis,2.05,Underdog
UFC Fight Night 82 - Hendricks vs. Thompson,6th Feb 2016,Ray Borg,1.47,Justin Scoggins,3.19,Underdog
UFC Fight Night 82 - Hendricks vs. Thompson,6th Feb 2016,Noad Lahat,1.33,Diego Rivas,4.05,Underdog
UFC Fight Night 82 - Hendricks vs. Thompson,6th Feb 2016,Mickey Gall,1.22,Mike Jackson,5.35,Favourite
UFC Fight Night 82 - Hendricks vs. Thompson,6th Feb 2016,Artem Lobov,1.8,Alex White,2.2,Underdog
UFC Fight Night 82 - Cerrone vs. Oliveira,21st Feb 2016,Donald Cerrone,1.45,Alex Oliveira,3.5,Favourite
UFC Fight Night 82 - Cerrone vs. Oliveira,21st Feb 2016,Derek Brunson,1.3,Roan Carneiro,4.44,Favourite
UFC Fight Night 82 - Cerrone vs. Oliveira,21st Feb 2016,Cody Garbrandt,1.3,Augusto Mendes,4.37,Favourite
UFC Fight Night 82 - Cerrone vs. Oliveira,21st Feb 2016,Dennis Bermudez,1.31,Tatsuya Kawajiri,4.35,Favourite
UFC Fight Night 82 - Cerrone vs. Oliveira,21st Feb 2016,Chris Camozzi,1.43,Joe Riggs,3.25,Favourite
UFC Fight Night 82 - Cerrone vs. Oliveira,21st Feb 2016,James Krause,1.71,Shane Campbell,2.4,Favourite
UFC Fight Night 82 - Cerrone vs. Oliveira,21st Feb 2016,Alex Garcia,1.87,Sean Strickland,2.05,Underdog
UFC Fight Night 82 - Cerrone vs. Oliveira,21st Feb 2016,Daniel Sarafian,1.67,Oluwale Bamgbose,2.75,Underdog
UFC Fight Night 82 - Cerrone vs. Oliveira,21st Feb 2016,Anthony Smith,1.77,Leonardo Guimaraes,2.2,Favourite
UFC Fight Night 82 - Cerrone vs. Oliveira,21st Feb 2016,Jonavin Webb,1.43,Nathan Coy,3.34,Underdog
UFC Fight Night 82 - Cerrone vs. Oliveira,21st Feb 2016,Marion Reneau,1.59,Ashlee Evans-Smith,2.65,Underdog
UFC Fight Night 82 - Cerrone vs. Oliveira,21st Feb 2016,Lauren Murphy,1.33,Kelly Faszholz,4.0,Favourite
UFC Fight Night 82 - Cerrone vs. Oliveira,21st Feb 2016,Shamil Abdurakhimov,2.0,Anthony Hamilton,2.1,Favourite
UFC Fight Night 84 - Silva vs. Bisping,27th Feb 2016,Anderson Silva,1.38,Michael Bisping,3.4,Underdog
UFC Fight Night 84 - Silva vs. Bisping,27th Feb 2016,Gegard Mousasi,1.34,Thales Leites,3.75,Favourite
UFC Fight Night 84 - Silva vs. Bisping,27th Feb 2016,Tom Breese,1.13,Keita Nakamura,9.26,Favourite
UFC Fight Night 84 - Silva vs. Bisping,27th Feb 2016,Francisco Rivera,1.67,Brad Pickett,2.6,Underdog
UFC Fight Night 84 - Silva vs. Bisping,27th Feb 2016,Makwan Amirkhani,1.59,Mike Wilkinson,2.6,Favourite
UFC Fight Night 84 - Silva vs. Bisping,27th Feb 2016,Davey Grant,1.57,Marlon Vera,2.65,Favourite
UFC Fight Night 84 - Silva vs. Bisping,27th Feb 2016,Scott Askham,1.3,Chris Dempsey,4.15,Favourite
UFC Fight Night 84 - Silva vs. Bisping,27th Feb 2016,Arnold Allen,1.32,Yaotzin Meza,3.91,Favourite
UFC Fight Night 84 - Silva vs. Bisping,27th Feb 2016,Krzysztof Jotko,1.63,Brad Scott,2.48,Favourite
UFC Fight Night 84 - Silva vs. Bisping,27th Feb 2016,Rustam Khabilov,1.44,Norman Parke,3.15,Favourite
UFC Fight Night 84 - Silva vs. Bisping,27th Feb 2016,Daniel Omielanczuk,1.87,Jarjis Danho,2.1,Favourite
UFC Fight Night 84 - Silva vs. Bisping,27th Feb 2016,Thibault Gouti,1.81,Teemu Packalen,2.13,Underdog
UFC Fight Night 84 - Silva vs. Bisping,27th Feb 2016,David Teymur,1.67,Martin Svensson,2.74,Favourite
UFC 196 - McGregor vs. Diaz,5th Mar 2016,Conor McGregor,1.25,Nate Diaz,5.0,Underdog
UFC 196 - McGregor vs. Diaz,5th Mar 2016,Holly Holm,1.38,Miesha Tate,3.5,Underdog
UFC 196 - McGregor vs. Diaz,5th Mar 2016,Ilir Latifi,1.61,Gian Villante,2.75,Favourite
UFC 196 - McGregor vs. Diaz,5th Mar 2016,Corey Anderson,1.38,Tom Lawlor,3.6,Favourite
UFC 196 - McGregor vs. Diaz,5th Mar 2016,Amanda Nunes,1.95,Valentina Shevchenko,2.0,Favourite
UFC 196 - McGregor vs. Diaz,5th Mar 2016,Brandon Thatch,1.33,Siyar Bahadurzada,3.8,Underdog
UFC 196 - McGregor vs. Diaz,5th Mar 2016,Erick Silva,1.45,Nordine Taleb,3.06,Underdog
UFC 196 - McGregor vs. Diaz,5th Mar 2016,Vitor Miranda,1.37,Marcelo Guimaraes,3.65,Favourite
UFC 196 - McGregor vs. Diaz,5th Mar 2016,Chas Skelly,1.65,Darren Elkins,2.45,Underdog
UFC 196 - McGregor vs. Diaz,5th Mar 2016,Jim Miller,1.67,Diego Sanchez,2.5,Underdog
UFC 196 - McGregor vs. Diaz,5th Mar 2016,Jason Saggo,1.5,Justin Salas,2.85,Favourite
UFC 196 - McGregor vs. Diaz,5th Mar 2016,Julian Erosa,1.61,Teruto Ishihara,2.6,Underdog
UFC Fight Night 84 - Hunt vs. Mir,19th Mar 2016,Mark Hunt,1.77,Frank Mir,2.2,Favourite
UFC Fight Night 84 - Hunt vs. Mir,19th Mar 2016,Hector Lombard,1.95,Neil Magny,2.0,Underdog
